"STATE","ST_CASE","VE_TOTAL","VE_FORMS","PVH_INVL","PEDS","PERNOTMVIT","PERMVIT","PERSONS","COUNTY","CITY","DAY","MONTH","YEAR","DAY_WEEK","HOUR","MINUTE","NHS","ROAD_FNC","ROUTE","TWAY_ID","TWAY_ID2","MILEPT","LATITUDE","LONGITUD","SP_JUR","HARM_EV","MAN_COLL","RELJCT1","RELJCT2","TYP_INT","REL_ROAD","WRK_ZONE","LGT_COND","WEATHER1","WEATHER2","WEATHER","SCH_BUS","RAIL","NOT_HOUR","NOT_MIN","ARR_HOUR","ARR_MIN","HOSP_HR","HOSP_MN","CF1","CF2","CF3","FATALS","DRUNK_DR"
48,482186,1,1,0,1,1,1,1,113,1730,22,10,2011,7,2,6,0,16,5,"SKILLMAN ST                   ","                              ",0,32.88722778,-96.73291944,0,8,0,0,1,1,1,1,3,1,0,1,0,"0000000",99,99,99,99,88,88,0,0,0,1,0
48,482187,1,1,0,0,0,1,1,183,4080,22,10,2011,7,16,54,0,14,8,"FM 2206                       ","                              ",25,32.494225,-94.81078333,0,32,0,0,1,1,4,0,1,1,0,1,0,"0000000",16,54,16,57,17,16,0,0,0,1,1
48,482188,2,2,0,0,0,3,3,201,0,22,10,2011,7,2,44,0,6,4,"VETERANS MEMORIAL DR          ","FRICK RD                      ",0,29.92335,-95.442,0,12,6,0,2,4,1,0,2,1,0,1,0,"0000000",2,43,2,53,3,33,0,0,0,1,1
48,482189,1,1,0,0,0,2,2,355,0,22,10,2011,7,1,15,0,6,4,"RIVER LN                      ","                              ",0,27.87409444,-97.61810833,0,42,0,0,1,1,4,0,2,1,0,1,0,"0000000",99,99,99,99,99,99,0,0,0,1,1
48,482190,1,1,0,0,0,4,4,439,2800,22,10,2011,7,23,30,1,12,3,"SR-360                        ","                              ",211,32.620975,-97.07340833,0,33,0,0,1,1,3,0,2,1,0,1,0,"0000000",23,37,23,49,0,20,0,0,0,2,0
48,482191,1,1,0,0,0,1,1,247,0,23,10,2011,1,9,57,0,4,8,"FM649                         ","                              ",64,27.18342222,-98.93405833,0,1,0,0,1,1,4,0,1,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482192,3,2,1,0,0,6,6,303,0,23,10,2011,1,12,30,1,2,2,"US-62                         ","                              ",394,33.66661389,-101.61083611,0,12,1,0,8,1,1,0,1,1,0,1,0,"0000000",12,38,12,53,13,24,0,0,0,1,0
48,482696,1,1,0,0,0,1,1,85,92,1,11,2011,3,16,35,0,14,8,"FM 2170                       ","                              ",1,33.10013889,-96.61880833,0,1,0,0,1,1,1,0,1,1,0,1,0,"0000000",16,45,16,56,17,30,0,0,0,1,0
48,482697,1,1,0,0,0,1,1,185,0,6,11,2011,1,0,56,1,2,3,"SR-105                        ","                              ",46,30.36125278,-96.00936111,0,1,0,0,1,1,4,0,2,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,1
48,482698,1,1,0,1,1,2,2,491,2620,7,11,2011,2,21,51,9,99,8,"RM 2338                       ","                              ",99999,30.65726667,-97.68643611,0,8,0,0,1,1,1,0,3,1,0,1,0,"0000000",21,52,21,59,22,20,0,0,0,1,0
48,482699,1,1,0,1,1,3,3,141,2270,8,11,2011,3,17,51,0,16,5,"G AVE                         ","2ND ST                        ",0,31.5047,-106.15145278,0,8,0,0,2,2,1,0,3,1,0,1,0,"0000000",17,54,18,6,18,50,0,0,0,1,0
48,482700,1,1,0,2,2,2,2,361,5100,23,11,2011,4,18,35,1,13,3,"SR-87                         ","                              ",106,30.09422778,-93.755825,0,8,0,0,1,1,1,0,3,1,0,1,0,"0000000",18,28,18,33,18,40,0,0,0,1,0
48,482701,1,1,0,0,0,1,1,463,0,6,12,2011,3,9,7,1,2,2,"US-90                         ","                              ",40,29.2405,-100.06213056,0,35,0,0,1,1,4,0,1,10,0,10,0,"0000000",9,27,10,1,11,2,0,0,0,1,0
48,482702,2,2,0,0,0,2,2,387,0,7,12,2011,4,14,30,1,2,2,"US-82                         ","                              ",97,33.62828056,-95.15893889,0,12,2,0,1,1,1,0,1,1,0,1,0,"0000000",14,39,15,5,16,16,0,0,0,1,0
48,482703,1,1,0,0,0,2,2,449,0,10,12,2011,7,20,5,0,3,2,"US-67                         ","                              ",49,33.18849167,-94.89656944,0,32,0,0,1,1,4,0,2,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,2,1
48,482704,1,1,0,0,0,3,3,469,702,10,12,2011,7,2,55,0,4,8,"FM616                         ","                              ",83,28.65003889,-96.886675,0,34,0,0,1,1,4,0,2,1,0,1,0,"0000000",99,99,99,99,99,99,0,0,0,1,1
48,482705,1,1,0,0,0,2,2,139,0,11,12,2011,1,5,55,0,5,8,"FM1181                        ","KUBIN LN                      ",37,32.34669444,-96.56312778,0,59,0,0,1,1,4,0,2,1,0,1,0,"0000000",6,18,99,99,7,33,0,0,0,1,1
48,482706,1,1,0,1,1,1,1,21,0,12,12,2011,2,19,42,0,6,4,"LOOP RD                       ","                              ",0,30.01253056,-97.13738889,0,9,0,0,1,1,1,0,2,10,0,10,0,"0000000",99,99,99,99,99,99,0,0,0,1,0
48,482707,1,1,0,0,0,2,2,67,0,15,12,2011,5,10,54,0,6,4,"3669                          ","                              ",0,33.22136667,-94.15636944,0,11,0,0,1,1,1,0,1,2,0,2,0,"0000000",11,13,11,33,12,18,0,0,0,1,0
48,482708,1,1,0,0,0,1,1,67,0,20,12,2011,3,5,55,0,4,3,"SR-77                         ","                              ",199,33.18471389,-94.33841667,0,1,0,0,1,1,1,0,2,10,0,10,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482709,1,1,0,0,0,2,2,157,0,20,12,2011,3,22,12,0,6,4,"S MASON RD                    ","                              ",0,29.72306389,-95.75456111,0,33,0,0,1,1,3,0,3,1,0,1,0,"0000000",22,20,22,27,23,18,0,0,0,1,0
48,482710,2,2,0,0,0,2,2,317,0,21,12,2011,4,0,10,1,2,3,"SR-349                        ","                              ",12,32.51343611,-102.04301389,0,12,2,0,1,1,1,0,2,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482711,1,1,0,0,0,1,1,245,490,2,3,2011,4,23,13,1,11,1,"I-10                          ","                              ",33,30.09587778,-94.10333333,0,25,0,0,1,1,3,0,3,10,0,10,0,"0000000",88,88,88,88,88,88,0,0,0,1,1
48,482712,1,1,0,1,1,2,2,245,490,3,8,2011,4,17,1,1,13,8,"SS380                         ","                              ",95,30.07927222,-94.10649167,0,9,0,0,1,1,1,0,1,1,0,1,0,"0000000",17,2,17,7,17,22,0,0,0,1,1
48,482713,1,1,0,0,0,1,1,49,950,11,11,2011,6,21,42,1,13,8,"FM2524                        ","                              ",111,31.71899167,-98.98670556,0,1,0,0,1,1,1,0,3,1,0,1,0,"0000000",99,99,99,99,99,99,0,0,0,1,0
48,482714,3,3,0,0,0,7,7,303,4140,15,11,2011,3,7,36,1,11,7,"I-27                          ","US-84                         ",230,33.53671111,-101.8437,0,12,6,1,2,2,1,0,1,1,0,1,0,"0000000",7,41,7,47,8,13,0,0,0,1,0
48,482715,1,1,0,0,0,1,1,157,3280,25,11,2011,6,1,44,0,16,5,"BISSONNET ST                  ","                              ",0,29.67996667,-95.63742222,0,42,0,0,1,1,3,0,3,1,0,1,0,"0000000",88,88,88,88,88,88,20,0,0,1,1
48,482716,1,1,0,0,0,2,2,187,6290,24,11,2011,5,0,47,1,13,2,"US-90                         ","                              ",34,29.58132222,-97.94875556,0,59,0,0,1,1,4,0,2,10,0,10,0,"0000000",1,2,1,21,1,48,0,0,0,1,1
48,482717,1,1,0,1,1,4,4,201,3280,22,11,2011,3,18,0,0,16,5,"CROCKETT ST                   ","SAWYER ST                     ",0,29.77362222,-95.38275278,0,9,0,0,2,2,1,0,3,1,0,1,0,"0000000",18,12,18,21,19,14,0,0,0,1,0
48,482718,2,2,0,0,0,5,5,113,1730,1,12,2011,5,7,52,1,11,1,"I-45                          ","                              ",182,32.75189444,-96.770725,0,12,1,0,1,1,1,0,1,1,0,1,0,"0000000",7,57,8,0,8,33,0,0,0,1,0
